"Institution","Commitment","State","Carnegie Classification","% Change in Net Emissions","Total Net Emissions","Total Offsets","Total Gross Emissions","Total Building Sq. Ft.","per sq ft % Change in Emissions","Enrollment (FTE)","per FTE % Change in Emissions ","RE Energy Gen. (kWh)","Date Signed","Carbon Neutrality Date ","Sustain Web Site"
"Adams State University","Carbon","CO","MA","20.93","18,711","0","18,711","1,132,787","-4.72","2,576","-14.09","233,586","Feb 26, 2008",2030,"http://www.adams.edu/sustainability/"
"Agnes Scott College","Climate","GA","BA","-29.35","8,903","0","9,047","1,025,209","-41.42","1,008","-38.88","274,205","Oct 5, 2015",2037,"http://www.agnesscott.edu/sustainability"
"Alaska Pacific University","Carbon","AK","BA","0.00","4,637","0","4,637","244,015","0.00","471","0.00","0","Mar 9, 2007",2023,""
"Allegheny College","Climate","PA","BA","-39.27","10,521","757","10,651","1,451,255","-50.03","1,729","-23.71","8,573","Jun 2, 2016",2020,"http://www.allegheny.edu/green/"
"American Public University System","Carbon","WV","MA","225.25","7,292","0","7,292","224,564","55.98","80,000","-36.34","425","Sep 14, 2007",2050,""
"American University","Climate","DC","DR","-102.82","-1,564","27,500","25,936","3,995,858","-102.36","12,614","-102.26","33,806","Apr 19, 2016",2020,"http://www.american.edu/sustainability"
"Antioch University New England","Carbon","NH","DR","-4.26","2,538","0","2,538","90,500","-10.08","756","23.09","0","Jul 23, 2007",2020,"https://www.antioch.edu/new-england/resources/our-campus-and-offices/sustainability-social-justice/"
"Appalachian State University","Climate","NC","MA","-11.48","65,793","11,594","67,527","5,288,095","-14.80","17,391","-19.84","608,282","Jan 4, 2016",2050,"http://sustainability.appstate.edu/"
"Arizona State University","Climate","AZ","DR","-27.85","280,365","442","280,807","24,417,849","-48.70","77,102","-44.73","11,593","Dec 15, 2015",2035,"http://sustainability.asu.edu/gios/index.htm"
"Auburn University","Carbon","AL","DR","-7.05","219,811","0","219,811","11,846,397","-40.56","24,849","-8.24","15,249","Sep 9, 2008",2050,"http://www.auburn.edu/sustainability"
"Augsburg University","Carbon","MN","MA","-52.33","10,330","0","10,330","1,167,443","-57.32","4,070","-59.10","0","Jun 13, 2007",2019,"http://augsburg.edu/green/"
"Austin College","Carbon","TX","BA","-42.24","8,066","0","8,066","1,011,199","-55.74","1,191","-37.78","200","Jul 24, 2008",2035,"http://www.austincollege.edu/academics/centers-and-college-wide-programs/center-for-environmental-studies/"
"Austin Community College District","Carbon","TX","AS","4.71","43,676","0","43,676","2,421,417","-41.40","24,095","-60.29","792,558","May 13, 2009",2050,"http://www.austincc.edu/sustainability"
"Babson College","Carbon","MA","SP","-17.99","18,790","0","18,790","1,900,000","-26.36","3,022","-26.95","0","Oct 14, 2008",2050,"http://www.babson.edu/about-babson/sustainability/Pages/home.aspx"
"Ball State University","Climate","IN","DR","-14.58","138,571","0","105,619","7,166,210","-17.76","18,771","-24.95","0","Oct 5, 2015",2030,"http://www.bsu.edu/sustainability"
"Bard College","Carbon","NY","BA","-16.14","15,225","63","15,288","1,259,680","-22.85","2,232","-24.03","50,000","Dec 21, 2007",2035,"http://www.bard.edu/bos/"
"Bay de Noc Community College","Carbon","MI","AS","-2.05","7,653","83","7,653","347,093","-2.05","1,090","-11.57","0","Apr 24, 2013",,"https://mybay.baycollege.edu/ICS/Departments/Sustainability/"
"Bellevue College","Carbon","WA","AS","21.27","32,646","72","32,687","761,148","10.11","10,103","57.59","71,224","Mar 4, 2007",2050,""
"Bemidji State University","Climate","MN","MA","-14.06","17,242","0","17,242","1,447,447","-3.19","4,319","-14.80","0","Nov 17, 2008",2050,"http://www.bemidjistate.edu/offices/sustainability/"
"Bennington College","Climate","VT","BA","95.61","4,774","0","4,774","480,342","119.43","776","102.92","0","Oct 5, 2015",2030,"http://www.bennington.edu/Committees/SustainabilityCommittee.aspx"
"Bentley University","Carbon","MA","MA","-65.24","7,244","3,253","10,497","2,253,522","-73.78","4,879","-64.67","0","Sep 12, 2007",2030,"http://www.bentley.edu/green"
"Bergen Community College","Carbon","NJ","AS","0.00","23,493","0","23,493","722,945","0.00","12,172","0.00","0","Mar 4, 2008",2030,""
"Black Hills State University","Climate","SD","MA","-2.89","13,154","0","13,154","839,374","-15.35","2,956","-3.09","0","May 14, 2007",2050,"http://www.bhsu.edu/sustain"
"Bluefield College","Carbon","VA","BA","0.00",,"0","0","0","0.00","762","0.00","0","Mar 11, 2019",,""
"Boise State University","Carbon","ID","MA","11.88","49,884","0","49,884","3,099,511","6.02","14,314","5.13","0","Apr 27, 2007",,"http://www.boisestate.edu/sustain"
"Boston Architectural College","Carbon","MA","MA","-84.44","366","0","366","72,000","-78.13","598","-60.97","0","Jul 17, 2009",2045,""
"Bowdoin College","Carbon","ME","BA","7.71","12,670","0","12,670","2,040,400","3.35","1,800","2.33","86,302","May 29, 2007",2020,"http://www.bowdoin.edu/sustainability/"
"Bowie State University","Climate","MD","MA","-40.44","14,834","0","14,834","2,179,847","-67.43","6,320","-56.21","0","Jan 21, 2016",2019,"http://www.bowiestate.edu/about/sustainability/c4/"
"Bowling Green State University","Carbon","OH","DR","-26.79","86,890","0","86,890","5,038,421","-27.39","14,489","-18.46","0","Oct 24, 2012",2040,"http://www.bgsu.edu/sustainability"
"Brandeis University","Carbon","MA","DR","-42.70","27,794","0","27,794","3,024,587","-51.93","5,444","-50.14","0","Sep 13, 2007",2100,"http://www.brandeis.edu/sustainability"
"Brevard College","Climate","NC","BA","0.00",,"0","0","0","0.00","597","0.00","0","Aug 31, 2017",,""
"Bristol Community College","Climate","MA","AS","-11.40","12,733","0","12,733","363,405","-11.40","5,559","-37.06","122,127","Oct 2, 2015",2050,""
"Brookhaven College","Climate","TX","AS","1.61","9,441","18","9,459","633,111","1.61","6,868","12.24","5,210","Feb 17, 2017",2050,"https://www.brookhavencollege.edu/about/SustainableBrookhaven/Pages/default.aspx"
"Broome Community College","Carbon","NY","AS","-10.90","18,399","0","18,399","591,643","-10.90","5,136","8.86","0","Aug 24, 2007",2050,""
"Bucknell University","Carbon","PA","BA","-11.63","36,347","0","36,347","2,989,249","-21.66","3,781","-16.73","6,559","Feb 5, 2008",2030,"https://www.bucknell.edu/sustainability"
"Bunker Hill Community College","Carbon","MA","AS","-16.61","4,481","3,311","7,792","487,260","-24.82","12,934","-29.02","0","Feb 23, 2007",2050,""
"Butler University","Carbon","IN","MA","2.80","29,648","0","29,648","2,623,600","-19.57","4,803","-11.05","0","Apr 16, 2012",2050,"http://www.butler.edu/sustainability"
"Cabrillo College","Carbon","CA","AS","-43.37","15,316","0","15,316","806,333","-52.87","9,544","-41.78","0","May 14, 2007",2060,"https://www.cabrillo.edu/internal/facilities/greensteps/index.html"
"California College of the Arts","Carbon","CA","SP","0.00","3,277","0","3,277","447,031","0.00","1,966","0.00","0","Mar 1, 2010",2020,"http://www.cca.edu/about/sustainability"
"California Lutheran University","Climate","CA","MA","31.08","5,483","0","5,483","888,352","29.55","4,383","13.79","0","May 18, 2016",,""
"California Polytechnic State University-San Luis Obispo","Climate","CA","MA","0.00","47,460","0","47,460","5,914,143","0.00","20,247","0.00","0","Apr 8, 2016",,"http://sustainability.calpoly.edu/"
"California State Polytechnic University-Pomona","Carbon","CA","MA","-30.74","44,803","0","44,803","5,055,814","-50.29","22,333","-49.46","2,018,898","Feb 5, 2007",2030,"http://www.csupomona.edu/sustainability"
"California State University - Fullerton","Carbon","CA","MA","-64.21","21,094","0","21,094","5,438,137","-85.10","32,494","-72.69","1,844,590","Apr 7, 2011",2050,"https://facilities.fullerton.edu/sustainability/"
"California State University-Bakersfield","Climate","CA","MA","30.92","13,258","0","13,258","1,167,950","11.91","8,937","-1.95","0","Dec 9, 2016",,"https://www.csub.edu/sustainability/index.html"
"California State University-Channel Islands","Carbon","CA","MA","15.31","14,440","0","14,440","1,334,037","-17.42","6,144","-22.36","0","Apr 6, 2015",,""
"California State University-Chico","Climate","CA","MA","-52.77","20,866","0","20,866","2,845,130","-53.57","16,282","-56.48","0","Dec 17, 2015",2030,"http://www.csuchico.edu/sustainablefuture"
"California State University-East Bay","Carbon","CA","MA","1.18","39,894","0","39,894","2,011,416","-0.04","13,735","-12.45","0","Jan 27, 2015",2040,"http://www20.csueastbay.edu/oaa/sustaineb/"
"California State University-Long Beach","Climate","CA","MA","30.55","78,239","0","78,239","5,717,697","26.09","34,993","7.74","506,670","Apr 12, 2016",2030,"http://www.csulb.edu/sustainability"
"California State University-Los Angeles","Climate","CA","MA","-18.92","49,080","0","49,080","4,206,242","-18.92","22,167","-17.82","0","Apr 4, 2016",2045,"http://www.calstatela.edu/sustainability"
"California State University-Monterey Bay","Climate","CA","BA","49.88","14,429","0","14,429","2,731,791","-1.18","7,567","-6.37","1,757,526","Apr 15, 2016",2030,"http://csumb.edu/sustainability"
"California State University-Northridge","Climate","CA","MA","-29.61","69,367","0","69,367","7,552,086","-43.84","29,713","-14.33","0","Oct 5, 2015",2040,"http://www.csun.edu/sustainability"
"California State University-Sacramento","Carbon","CA","MA","-2.54","23,687","0","23,687","5,845,966","-17.17","25,604","-7.58","235,224","Apr 19, 2016",2040,"https://www.csus.edu/experience/innovation-creativity/sustainability/"
"California State University-San Bernardino","Resilience","CA","MA","0.00",,"0","0","0","0.00","16,431","0.00","0","Dec 12, 2017",,"https://www.csusb.edu/sustainability"
"Calvin College","Climate","MI","BA","0.00","31,649","2,425","31,649","2,210,347","0.00","3,915","0.00","0","Dec 5, 2017",,"https://calvin.edu/about/sustainability/"
"Carleton College","Carbon","MN","BA","-26.66","19,950","738","20,035","1,936,472","-31.23","2,067","-29.11","3,721,139","Mar 1, 2007",2050,"http://apps.carleton.edu/campus/sustainability/Shrinkingfootprints/"
"Case Western Reserve University","Carbon","OH","DR","-17.07","173,299","104","173,403","8,000,000","-19.69","10,820","-30.01","138,013","Jun 26, 2008",2050,"https://case.edu/sustainability/"
"Catawba College","Carbon","NC","BA","-38.46","5,024","47","5,024","659,174","-40.79","1,310","-38.69","0","Jun 12, 2007",2030,"http://www.catawba.edu/recycle"
"Cedar Valley College","Climate","TX","AS","-52.44","5,771","0","5,771","511,203","-52.44","3,445","-59.62","0","Nov 12, 2015",2060,"http://www.cedarvalleycollege.edu/CommunityMembers/SustainableCommunitiesInstitute/default.aspx"
"Central College","Carbon","IA","BA","-6.07","9,723","34","9,757","924,668","-6.18","1,274","14.28","51,483","Sep 6, 2007",2053,"http://central.edu/sustainability/"
"Central Community College","Climate","NE","AS","-39.25","19,204","0","19,204","975,062","-43.16","3,625","-29.38","6,249,303","Oct 1, 2015",2034,"http://www.cccneb.edu/GreenToday"
"Central Connecticut State University","Carbon","CT","MA","-31.87","33,322","0","33,322","3,788,014","-39.35","11,880","-45.06","1,400","Jul 25, 2007",2050,"http://www.ccsu.edu/page.cfm?p=867"
"Central New Mexico Community College","Carbon","NM","AS","-47.90","20,256","0","20,256","1,743,668","-62.54","13,684","-54.30","338,169","Sep 11, 2007",2025,""
"Centre College","Carbon","KY","BA","0.09","17,094","2,497","19,591","1,234,387","-23.61","1,387","-14.42","0","Mar 16, 2007",2040,"http://www.centre.edu/sustainable_centre/"
"Chandler-Gilbert Community College","Climate","AZ","AS","-25.81","6,491","1","6,492","667,239","-50.83","7,939","-50.45","2,483,192","Oct 7, 2015",2050,"https://www.cgc.edu/community/Sustainability/Pages/Home.aspx"
"Chatham University","Climate","PA","MA","10.66","8,031","383","8,136","1,114,000","-28.18","2,098","-36.02","322,354","Oct 2, 2015",2025,"http://www.chatham.edu/outreach/sustainability/"
"Chemeketa Community College","Carbon","OR","AS","-14.04","20,904","0","20,904","1,290,548","-14.25","10,704","-66.37","206","Apr 15, 2014",2050,"http://www.chemeketa.edu/aboutchemeketa/sustainability/"
"Chesapeake College","Carbon","MD","AS","-24.58","6,774","0","6,774","373,889","-37.35","2,062","-67.70","0","Oct 24, 2012",2025,"http://www.chesapeake.edu/sustainability/overview.asp"
"Claflin University","Carbon","SC","BA","6.64","9,541","0","9,541","787,519","-10.86","1,866","4.75","0","Aug 31, 2011",,""
"Claremont McKenna College","Carbon","CA","BA","-34.67","6,540","0","6,540","889,169","-57.27","1,327","-48.31","0","Jun 14, 2007",2050,""
"Clark Atlanta University","Carbon","GA","DR","-24.53","18,141","0","18,141","1,375,858","-25.04","3,419","-19.46","0","Feb 22, 2011",2050,""
"Clark University","Carbon","MA","DR","-31.70","13,962","10","13,972","1,747,298","-35.38","3,020","-26.95","290,575","Jun 15, 2007",2030,"http://www.clarku.edu/offices/campussustainability"
"Clarkson University","Climate","NY","DR","-3.55","17,861","0","17,861","1,716,638","-4.48","3,715","-2.64","0","Oct 23, 2015",2025,"https://www.clarkson.edu/sustainability"
"Clemson University","Carbon","SC","DR","13.49","157,848","262","158,110","6,841,818","10.67","20,260","-1.49","0","Apr 25, 2007",2030,"http://www.clemson.edu/sustainability/"
"Cleveland State University","Carbon","OH","DR","-36.08","56,850","0","56,850","5,452,445","-56.79","13,772","-45.33","0","Feb 7, 2011",2065,"https://www.csuohio.edu/sustainability"
"Coastal Carolina University","Carbon","SC","BA","0.00","24,580","873","25,453","1,344,638","0.00","8,706","0.00","0","Apr 16, 2010",,"http://www.coastal.edu/sustain"
"Coe College","Climate","IA","BA","-24.69","9,071","0","9,071","905,025","-28.47","1,438","-39.45","0","Jan 14, 2016",2050,"http://www.coe.edu/aboutcoe/coegreen"
"Colby College","Carbon","ME","BA","-102.89","-510","9,300","8,790","1,549,830","-102.70","1,879","-102.84","68,737,374","May 6, 2008",2015,"http://www.colby.edu/green"
"Colby-Sawyer College","Climate","NH","BA","-54.15","3,502","1,015","4,440","665,727","-59.78","916","-52.34","200,679","Feb 22, 2017",2050,"http://www.colby-sawyer.edu/sustainable"
"Colgate University","Carbon","NY","BA","-53.34","8,094","8,776","13,094","2,425,244","-55.14","2,865","-54.65","54,167,594","Oct 9, 2008",2019,"http://www.colgate.edu/distinctly-colgate/sustainability"
"College of Charleston","Carbon","SC","MA","0.00","48,937","0","48,937","3,556,696","0.00","10,533","0.00","0","Jan 23, 2008",2050,"http://sustainability.cofc.edu/"
"College of Lake County","Climate","IL","AS","-16.46","25,215","0","25,215","1,147,731","-20.93","14,600","-48.99","107","Dec 11, 2015",2042,"http://www.clcillinois.edu/aboutclc/who-we-are/green-initiatives"
"College of Menominee Nation","Carbon","WI","TR","0.44","2,069","0","2,069","150,562","-28.55","287","76.73","0","Mar 8, 2007",2020,"http://www.sustainabledevelopmentinstitute.org/"
"College of Saint Benedict","Climate","MN","BA","-25.37","13,531","0","13,531","1,319,613","-26.88","1,876","-19.96","0","Oct 16, 2015",2035,"http://www.csbsju.edu/csb-sustainability"
"College of Saint Mary","Carbon","NE","BA","-24.51","4,402","0","4,402","408,924","-31.21","1,043","-12.27","0","Jun 29, 2010",2050,""
"College of the Atlantic","Carbon","ME","BA","205.35","1,008","0","1,008","152,347","193.84","332","226.50","78,411","Jun 12, 2007",2012,"http://www.coa.edu/about/environmental-commitment/"
"College of the Holy Cross","Carbon","MA","BA","-46.38","12,445","0","12,445","2,129,657","-48.74","2,900","-48.23","0","Sep 10, 2007",2040,""
"Colorado College","Carbon","CO","BA","-39.48","22,336","2,052","24,388","2,279,410","-44.49","2,307","-46.11","0","Apr 14, 2009",2020,"http://www.coloradocollege.edu/offices/sustainability/"
"Colorado Mountain College","Carbon","CO","AS","0.00","7,115","0","7,115","572,165","0.00","4,633","0.00","5,497","Sep 25, 2009",2050,""
"Community College of Philadelphia","Carbon","PA","AS","0.00",,"0","0","0","0.00","16,889","0.00","0","Oct 9, 2015",,
"Concordia College-Moorhead","Climate","MN","BA","0.00","5,098","0","5,098","1,494,715","0.00","2,021","0.00","10,880","Apr 11, 2017",,"https://concordiacollege.edu/sustainability"
"Coppin State University","Carbon","MD","MA","0.34","21,722","155","21,877","1,257,288","-23.30","3,108","-10.93","500,000","Mar 4, 2008",2025,"http://www.coppin.edu/green"
"Cornell University","Carbon","NY","DR","-35.83","205,194","45","205,239","15,873,205","-39.76","23,162","-45.14","6,168,000","Feb 23, 2007",2035,"http://www.sustainablecampus.cornell.edu/"
"Cuyahoga Community College","Carbon","OH","AS","-25.58","51,582","0","51,582","3,098,722","-31.52","13,750","2.32","0","Nov 2, 2010",2050,"http://www.tri-c.edu/about/sustainability/"
"Davidson College","Carbon","NC","BA","-9.66","22,958","5","22,963","1,946,904","-27.20","1,810","-16.74","129,196","Nov 14, 2007",2050,"https://www.davidson.edu/offices-and-services/sustainability-office"
"Delta College","Carbon","MI","AS","-31.72","17,066","-9","17,057","941,722","-29.83","5,177","-6.05","12,353","Sep 10, 2007",2050,"http://www.delta.edu/sustainability/student-leadership.html"
"Denison University","Carbon","OH","BA","-46.40","17,353","0","17,353","1,831,650","-48.30","2,185","-47.70","26,000","Apr 22, 2010",2030,"http://denison.edu/campus/green"
"DePauw University","Carbon","IN","BA","-5.86","36,373","0","36,373","2,038,537","-15.66","2,292","-5.62","0","Sep 15, 2008",2040,"http://www.depauw.edu/offices/sustainability"
"Dickinson College","Carbon","PA","BA","-38.09","8,595","73","8,668","1,920,297","-39.28","2,357","-38.37","111,955","Jan 10, 2007",2020,"https://www.dickinson.edu/sustainability"
"Drake University","Carbon","IA","MA","-18.81","23,972","0","23,972","2,008,353","-25.32","4,130","-18.55","0","Apr 21, 2007",2050,"http://www.drake.edu/green"
"Drew University","Carbon","NJ","BA","-10.83","16,123","0","16,123","1,275,127","-10.86","1,926","-5.18","0","Jan 31, 2008",2035,"http://www.drew.edu/sustainability"
"Drexel University","Carbon","PA","DR","0.00","42,422","18,256","60,678","3,353,000","0.00","15,481","0.00","0","Dec 21, 2010",,"http://www.drexel.edu/green/"
"Drury University","Carbon","MO","MA","-15.75","13,247","50","13,297","1,194,000","-22.17","4,450","-7.27","1,800","May 7, 2007",2030,"http://www.drury.edu/sustainability"
"Duke University","Carbon","NC","DR","-24.22","256,759","0","256,759","16,352,134","-41.35","15,192","-35.15","0","Jul 24, 2007",2024,"http://sustainability.duke.edu/"
"Earlham College","Climate","IN","BA","0.00",,"0","0","0","0.00","1,074","0.00","0","Nov 1, 2019",,"http://www.earlham.edu/sustainability"
"Eastern Connecticut State University","Climate","CT","MA","-17.24","14,554","0","14,554","2,413,803","-31.60","4,638","-8.34","400","Jan 7, 2016",2050,"http://www1.easternct.edu/greencampus/"
"Eastern Kentucky University","Climate","KY","MA","0.39","107,874","8,756","107,874","5,459,905","-0.65","12,452","-0.74","9,838","Oct 20, 2015",2036,"http://sustainability.eku.edu/"
"Eastern Mennonite University","Carbon","VA","BA","5.68","5,959","5","5,964","642,861","3.87","1,288","1.99","122,080","Apr 9, 2013",2035,"http://www.emu.edu/sustainability"
"Eastern Washington University","Carbon","WA","MA","28.20","31,537","0","31,537","2,701,010","22.84","12,587","2.11","0","May 16, 2007",2050,""
"Eastfield College","Climate","TX","AS","-99.13","18,672","753","19,425","735,583","-99.13","9,737","-97.16","8,468","Dec 10, 2015",2065,"http://www.efc.dcccd.edu/greenefc"
"Eckerd College","Carbon","FL","BA","-17.56","14,777","0","14,777","868,992","-23.88","1,803","-16.92","0","May 9, 2007",,"http://www.eckerd.edu/green"
"Emerson College","Climate","MA","MA","-16.98","11,061","0","11,061","1,299,126","-39.80","4,446","-19.71","0","Sep 22, 2016",2030,"http://emerson.edu/sustainability"
"Emory & Henry College","Climate","VA","BA","-74.88","2,133","66","2,199","947,000","-84.35","881","-72.05","0","Oct 5, 2015",2036,"http://www.ehc.edu/sustainability"
"Estrella Mountain Community College","Climate","AZ","AS","4.69","12,654","0","12,654","347,500","-2.99","14,600","-63.09","0","Oct 7, 2015",2024,"http://www.estrellamountain.edu/sustainability"
"Fayetteville State University","Carbon","NC","MA","-40.31","15,962","0","15,962","1,710,699","-49.96","5,369","-40.17","0","Apr 22, 2010",2050,"http://www.uncfsu.edu/facilities-management/sustainability"
"Florida Agricultural and Mechanical University","Carbon","FL","DR","0.00","118,100","0","118,100","3,648,067","0.00","7,898","0.00","0","Apr 12, 2013",,"http://sustainability.famu.edu/"
"Florida Gulf Coast University","Carbon","FL","MA","11.75","31,965","2,695","31,965","4,316,596","-21.50","12,695","-38.25","2,640,480","Feb 15, 2007",2050,"http://www.fgcu.edu/ehs/"
"Florida International University","Carbon","FL","DR","49.30","151,181","0","151,181","9,774,810","-33.54","30,620","85.86","17","Jun 7, 2007",2099,"http://gogreen.fiu.edu/"
"Fort Lewis College","Carbon","CO","BA","-57.60","9,751","1","9,752","1,240,362","-59.19","2,964","-44.72","100,419","Apr 10, 2007",2080,"https://www.fortlewis.edu/sustainability/"
"Framingham State University","Carbon","MA","MA","-59.05","11,989","0","11,989","1,516,354","-72.80","5,707","-56.33","0","May 14, 2007",2060,""
"Franklin & Marshall College","Carbon","PA","BA","-100.00","0","0","0","0","0.00","2,000","0.00","0","Apr 12, 2007",2030,"http://www.fandm.edu/beyondgreen"
"Franklin College of Indiana","Carbon","IN","BA","-5.35","8,348","80","8,428","521,000","-9.58","970","3.72","0","Nov 14, 2007",2040,""
"Frostburg State University","Climate","MD","MA","-6.52","28,125","5,403","33,528","1,511,494","-11.23","4,986","-12.79","0","Oct 2, 2015",2030,"http://www.frostburg.edu/lglg/index.htm"
"Furman University","Carbon","SC","BA","-29.84","20,115","52","20,309","2,386,964","-40.45","2,950","-28.41","195,478","Jan 8, 2007",2026,"http://www.furman.edu/sustain"
"Gallaudet University","Carbon","DC","DR","-9.18","32,073","0","32,073","2,392,000","-11.69","1,713","7.52","0","Jan 15, 2013",2060,"http://www.gallaudet.edu/sustainability.html"
"Gateway Community College (AZ)","Climate","AZ","AS","7.24","16,288","0","16,288","438,000","-26.28","3,482","17.83","0","Oct 7, 2015",2050,"http://www.gatewaycc.edu/sustainability"
"Gateway Technical College","Climate","WI","BA","-15.37","29,400","0","29,400","836,260","-22.08","5,419","-18.98","0","Oct 5, 2015",2030,"http://www.gtc.edu/green"
"George Mason University","Carbon","VA","DR","19.53","120,204","0","120,204","6,933,977","-19.25","26,737","0.86","1,343","Jul 23, 2007",2050,"http://green.gmu.edu/"
"Georgia Institute of Technology","Carbon","GA","DR","-26.03","240,461","0","240,461","15,442,113","-36.82","32,722","-57.63","1,129,500","Apr 16, 2007",2050,"http://www.sustain.gatech.edu/"
"Georgia Southern University","Carbon","GA","DR","20.63","109,799","1,674","109,799","5,717,324","-11.37","18,813","3.47","-102,200","Dec 10, 2007",2050,"http://georgiasouthern.edu/sustainability/index.php"
"Gettysburg College","Carbon","PA","BA","-47.92","9,940","12,760","22,700","1,760,399","-53.86","2,616","-48.24","0","Sep 1, 2007",2032,"http://www.gettysburg.edu/about/sustainability/"
"Glendale Community College (AZ)","Climate","AZ","AS","-0.57","26,751","0","26,751","811,576","-23.17","13,470","-58.14","0","Oct 7, 2015",2025,"http://www.gccaz.edu/sustainability/green-efforts"
"Goddard College","Climate","VT","MA","-14.77","1,645","0","1,645","103,500","23.53","484","19.57","0","Dec 15, 2015",2020,""
"Gonzaga University","Carbon","WA","MA","-16.37","24,001","0","24,001","2,914,176","-35.30","7,304","-16.73","0","Sep 28, 2010",2050,"http://www.gonzaga.edu/sustainability"
"Goshen College","Carbon","IN","BA","-51.75","3,865","3,244","7,108","794,645","-51.83","766","-42.96","0","Apr 9, 2007",2050,"http://www.goshen.edu/sustainability"
"Goucher College","Carbon","MD","BA","-41.66","5,147","0","5,147","1,014,679","-48.88","1,826","-40.55","0","Jun 26, 2007",2099,"http://www.goucher.edu/green"
"Grinnell College","Carbon","IA","BA","-1.25","27,777","0","27,777","1,713,992","-1.54","1,600","-1.44","0","Sep 20, 2011",,"http://www.grinnell.edu/sustainability"
"Guilford College","Carbon","NC","BA","-22.42","11,267","280","11,547","803,302","-23.23","1,928","-13.37","21,916","May 24, 2007",2047,"http://sustainability.guilford.edu/"
"Gustavus Adolphus College","Carbon","MN","BA","-21.15","19,902","0","19,902","1,664,496","-27.19","2,222","-11.10","0","Sep 12, 2007",2035,"https://gustavus.edu/about/sustainability/"
"Hamilton College","Carbon","NY","BA","-31.39","17,142","35","17,177","2,049,301","-37.60","1,867","-32.86","40,372","Apr 30, 2007",2050,"http://www.hamilton.edu/sustainability"
"Hampshire College","Climate","MA","BA","0.83","7,414","-31","7,383","809,796","-0.01","1,692","-19.14","0","Nov 15, 2015",2032,""
"Harford Community College","Carbon","MD","AS","6.78","12,655","0","12,655","480,839","6.93","4,051","1.64","0","Dec 7, 2007",,"http://www.harford.edu/greenhcc"
"Harvey Mudd College","Carbon","CA","BA","0.00","6,535","0","6,535","615,315","0.00","734","0.00","0","Feb 4, 2008",,"http://www.hmc.edu/academicsclinicresearch/interdisciplinarycenters/ces1/green.html"
