"Institution","Commitment","State","Carnegie Classification","% Change in Net Emissions","Total Net Emissions","Total Offsets","Total Gross Emissions","Total Building Sq. Ft.","per sq ft % Change in Emissions","Enrollment (FTE)","per FTE % Change in Emissions ","RE Energy Gen. (kWh)","Date Signed","Carbon Neutrality Date ","Sustain Web Site"
"Haverford College","Carbon","PA","BA","-10.83","7,001","134","7,135","1,715,556","-22.64","1,235","-15.02","3,000","Jun 4, 2007",2060,"https://www.haverford.edu/greening_haverford/index.php"
"Hendrix College","Climate","AR","BA","0.00",,"0","0","0","0.00","1,017","0.00","0","Sep 22, 2016",,""
"Hibbing Community College","Carbon","MN","AS","61.33","4,481","0","4,481","362,583","61.33","2,080","2.00","3,149","May 13, 2009",2044,"http://hibbing.edu/campus-services/sustainablilty/"
"Hobart and William Smith Colleges","Carbon","NY","BA","-22.29","12,114","106","12,220","1,627,966","-31.26","2,224","-30.12","0","Sep 14, 2007",2025,"http://www.hws.edu/about/green/"
"Hollins University","Carbon","VA","BA","-22.90","12,178","222","12,400","848,261","-22.73","794","3.02","3,000","May 23, 2007",2040,"http://www.hollins.edu/about/"
"Howard Community College","Carbon","MD","AS","-25.65","39,178","0","39,178","1,658,490","-70.31","7,425","1,349.96","0","Apr 26, 2007",2050,"http://www.howardcc.edu/green"
"Humboldt State University","Climate","CA","MA","0.31","17,092","74","17,166","2,076,340","13.94","7,934","1.40","21,218","Jan 1, 2016",2050,"https://www2.humboldt.edu/sustainability/"
"Huston-Tillotson University","Climate","TX","BA","-51.29","1,913","0","1,913","266,420","-55.33","1,103","-70.19","0","Apr 11, 2016",2048,""
"Illinois College","Carbon","IL","BA","-0.97","12,121","999","12,121","760,503","-9.95","955","-6.88","0","Sep 14, 2007",,""
"Indiana State University","Carbon","IN","DR","-32.85","65,848","0","65,848","4,630,082","-37.04","13,771","-48.47","13,333","Sep 13, 2007",2050,"http://www.unboundedpossibilities.com/ICS"
"Institute of American Indian and Alaska Native Culture and Arts Development","Carbon","NM","TR","23.30","2,879","0","2,879","267,746","-7.90","495","-18.80","0","Sep 29, 2009",2050,""
"Iowa Lakes Community College","Carbon","IA","AS","-27.95","5,599","0","5,599","744,376","-36.99","1,578","138.50","0","Mar 15, 2007",2020,
"Ithaca College","Carbon","NY","MA","-28.49","23,333","2,083","23,414","2,690,000","-38.86","6,436","-26.00","360,184","Jun 1, 2007",2050,"http://www.ithaca.edu/sustainability"
"Jacksonville University","Carbon","FL","MA","0.00","32,803","0","32,803","1,271,004","0.00","4,001","0.00","0","Jun 18, 2017",,"http://www.ju.edu/healthycampus/environment/index.php"
"Jamestown Community College","Carbon","NY","BA","-77.04","8,810","595","9,405","636,339","-74.01","3,128","-71.67","1,000","Sep 25, 2008",2030,""
"Jefferson Community College","Carbon","NY","AS","5.19","4,077","0","4,077","293,067","-14.49","2,495","-7.46","0","Jan 12, 2012",2045,"https://sunyjefferson.edu/about/campus-community/sustainability.php"
"Johnson County Community College","Carbon","KS","AS","-21.62","42,287","14","42,301","1,926,309","-32.03","21,930","-50.21","312,780","Mar 31, 2008",2050,"http://www.jccc.edu/sustainability"
"Joliet Junior College","Carbon","IL","AS","-1.58","24,058","250","24,308","1,100,714","-28.76","9,431","11.75","0","Mar 5, 2009",2041,"http://www.jjc.edu/about/committees/sustainable-campus/Pages/default.aspx"
"Kalamazoo College","Carbon","MI","BA","-14.98","11,293","723","12,016","832,138","-17.27","1,458","-21.04","0","Aug 15, 2007",2050,"https://reason.kzoo.edu/green/"
"Kankakee Community College","Carbon","IL","AS","-21.41","9,365","0","9,365","442,180","-43.03","1,568","8.22","114,000","May 29, 2007",2041,"http://www.kcc.edu/sustainability"
"Keene State College","Carbon","NH","MA","17.26","25,046","12","25,058","1,606,242","16.35","4,400","28.32","0","Apr 12, 2007",2034,"http://www.keene.edu/sustain"
"Kendall College of Art and Design of Ferris State University","Carbon","MI","MA","0.00",,"0","0","0","0.00","1,419","0.00","0","Jan 23, 2013",2050,""
"Kennesaw State University","Carbon","GA","MA","-23.66","113,321","0","113,321","8,354,507","-50.75","32,147","-25.98","0","May 2, 2007",2064,"http://sustainability.kennesaw.edu"
"Kenyon College","Carbon","OH","BA","-10.58","21,706","4,575","21,706","1,626,800","-10.58","1,703","-12.37","31,486","Feb 16, 2016",2040,"http://www.kenyon.edu/about-kenyon/sustainability/"
"Lafayette College","Carbon","PA","BA","-10.47","27,067","0","27,067","1,978,607","-27.15","2,595","-20.44","0","Jan 8, 2008",,"https://sustainability.lafayette.edu/"
"LaGrange College","Carbon","GA","BA","7.81","8,611","0","8,611","600,878","-0.93","1,113","-3.81","0","Jan 17, 2007",2040,""
"Lamar Community College","Resilience","CO","AS","0.00",,"0","0","0","0.00","1,081","0.00","0","Oct 25, 2016",,""
"Lane Community College","Climate","OR","AS","-53.67","29,462","1,271","29,647","1,304,192","-60.32","8,295","-38.20","52,695","Dec 16, 2015",2050,"http://www.lanecc.edu/sustainability"
"Lasell College","Carbon","MA","BA","-18.46","4,631","0","4,631","717,344","-48.62","2,178","-45.68","0","Jun 19, 2008",2050,"http://www.lasell.edu/discover-lasell/sustainability.html"
"Lesley University","Carbon","MA","MA","-72.58","5,146","220","5,366","929,050","-81.93","3,788","-60.74","0","Apr 6, 2007",2040,"http://www.lesley.edu/sustainability"
"Lewis & Clark College","Carbon","OR","BA","-72.03","4,790","3,213","8,003","1,303,887","-73.20","3,562","0.00","100","Mar 2, 2007",2018,"http://www.lclark.edu/dept/lcsc/"
"Lewis and Clark Community College","Carbon","IL","AS","-84.40","4,300","0","4,300","833,908","-85.73","3,246","-78.03","127,047","Feb 20, 2008",2058,"http://www.lc.edu/green"
"Life University","Carbon","GA","MA","14.14","17,955","0","17,955","420,446","14.14","6,900","-68.77","0","Feb 20, 2007",2030,""
"Linfield College","Carbon","OR","BA","-54.09","3,629","3,106","6,734","981,463","-54.01","1,748","-57.76","20,139","Apr 22, 2008",2065,""
"Los Angeles Valley College","Climate","CA","AS","35.74","9,256","0","9,256","643,517","35.74","14,889","18.18","0","Jun 16, 2016",2050,"http://www.propositiona.org/"
"Loyola Marymount University","Carbon","CA","MA","-36.34","20,769","0","20,769","3,500,000","-49.47","8,050","-43.16","868,000","Sep 14, 2007",2050,"http://www.lmu.edu/green"
"Loyola University Chicago","Carbon","IL","DR","-29.33","60,126","9","60,131","4,294,970","-37.85","16,422","-42.92","0","Aug 30, 2012",2025,"http://www.luc.edu/sustainability"
"Loyola University Maryland","Carbon","MD","MA","0.00","33,861","0","33,861","2,231,900","0.00","5,093","0.00","0","Aug 31, 2015",2050,"http://www.loyola.edu/sustainability"
"Loyola University New Orleans","Carbon","LA","MA","5.38","45,144","0","45,144","1,332,852","5.38","4,713","-1.76","0","Nov 18, 2008",,"http://www.loyno.edu/sustain"
"Luther College","Carbon","IA","BA","-53.79","12,786","0","12,786","1,495,053","-57.21","2,031","-42.53","1,212,496","Jun 12, 2007",2030,"https://www.luther.edu/sustainability/"
"Macalester College","Carbon","MN","BA","-36.28","12,519","231","12,750","1,425,958","-39.60","2,160","-44.27","14,838","Feb 26, 2007",2025,""
"Maharishi University of Management","Carbon","IA","MA","-12.99","8,311","39","8,349","987,000","-13.60","529","-28.78","197,600","Sep 4, 2007",2024,"http://www.mum.edu/sustainability.html"
"Mary Baldwin University","Carbon","VA","MA","3.99","4,682","0","4,682","564,233","3.99","1,372","6.19","0","Oct 23, 2007",,"http://www.marybaldwin.edu/business-and-finance/facilities_management/sustainability/"
"Massachusetts College of Art and Design","Carbon","MA","SP","-55.12","4,589","0","4,589","852,000","-57.86","1,763","-57.80","0","Mar 5, 2007",2060,"http://sustainability.massart.edu/"
"Massachusetts College of Liberal Arts","Carbon","MA","BA","-11.26","6,500","0","6,500","668,731","-11.15","1,802","-9.84","211,164","Mar 27, 2007",2050,"http://www.mcla.edu/green"
"Massasoit Community College","Carbon","MA","AS","-3.00","13,276","0","13,276","550,037","-3.00","4,526","-7.80","453,000","Mar 22, 2007",2065,""
"Medical University of South Carolina","Carbon","SC","SP","4.73","211,073","0","211,073","7,737,872","-22.26","2,908","-19.54","0","Jun 5, 2007",,"http://academicdepartments.musc.edu/vpfa/eandf/sustainability.htm"
"Mercyhurst University","Carbon","PA","MA","-55.93","5,750","5,396","11,146","1,481,352","-59.46","2,708","-47.49","0","Sep 10, 2007",2030,"http://green.mercyhurst.edu/"
"Mesa Community College","Climate","AZ","AS","-24.90","24,520","0","24,520","937,494","-43.92","16,564","-45.68","0","Oct 7, 2015",2050,"http://www.mesacc.edu/recycle/"
"Messiah College","Carbon","PA","BA","-57.43","11,133","0","11,133","130,000","338.96","3,017","-60.46","0","Aug 10, 2007",2050,""
"Metropolitan State University of Denver","Carbon","CO","BA","35.12","37,811","0","37,811","1,252,018","19.71","21,307","2.51","33,880","May 31, 2007",2099,"http://www.ahec.edu/green"
"Middlebury College","Carbon","VT","BA","-105.51","-1,646","14,000","12,354","2,506,262","-105.49","2,802","-104.91","6,775,146","May 22, 2007",2016,"http://www.middlebury.edu/sustainability"
"Middlebury Institute of International Studies at Monterey","Carbon","CA","MA","-35.80","2,094","0","2,094","130,680","-35.80","786","-34.65","0","May 14, 2007",2016,"http://www.miis.edu/about/sustainability"
"Millersville University of Pennsylvania","Climate","PA","MA","-16.32","35,471","0","35,471","2,224,939","-24.16","6,405","-6.75","54,200","Oct 2, 2015",2040,"http://www.millersville.edu/sustainability/"
"Mills College","Carbon","CA","MA","-28.23","4,570","0","4,570","955,269","-29.68","1,462","-30.96","0","Jun 20, 2007",2050,"https://inside.mills.edu/green/index.php"
"Milwaukee Area Technical College","Carbon","WI","AS","-47.66","23,058","0","23,058","2,845,167","-48.91","9,893","-15.10","0","Mar 24, 2010",2030,""
"Mississippi State University","Carbon","MS","DR","-22.97","102,145","0","102,145","7,561,121","-22.78","20,118","-38.35","0","May 13, 2009",2042,"http://www.sustainability.msstate.edu/"
"Montgomery County Community College","Carbon","PA","AS","-40.64","10,666","7,634","18,277","816,783","-48.69","3,870","-25.10","11,252,600","Jul 11, 2007",,""
"Moraine Valley Community College","Carbon","IL","AS","1.99","25,103","0","25,103","1,105,000","-8.44","9,200","5.41","0","Sep 30, 2013",2042,"http://www.morainevalley.edu/sustainability"
"Morehouse College","Carbon","GA","BA","77.01","36,688","0","36,688","1,278,807","76.66","2,134","140.05","0","Feb 21, 2010",2050,""
"Mountain View College","Climate","TX","AS","2.99","9,393","109","9,502","519,917","3.93","14,104","-56.05","0","Nov 13, 2015",2035,"http://www.mountainviewcollege.edu/Sustainability/"
"Mt. Hood Community College","Climate","OR","AS","0.00",,"0","0","0","0.00","10,638","0.00","0","Oct 5, 2015",,"http://www.mhcc.edu/About.aspx?id=2696"
"Nassau Community College","Carbon","NY","AS","-20.80","37,079","0","37,079","1,596,417","-27.17","14,516","-0.22","0","Feb 12, 2008",2099,""
"New College of Florida","Carbon","FL","BA","22.61","8,542","100","8,544","576,703","-1.75","709","35.75","0","Nov 29, 2007",2059,"https://www.ncf.edu/about/our-campus/sustainability/"
"New England College","Carbon","NH","BA","0.00",,"0","0","0","0.00","995","0.00","0","Sep 17, 2012",,""
"New Mexico State University at Carlsbad","Carbon","NM","AS","0.00","5,777","0","5,777","142,314","0.00","942","0.00","0","May 29, 2007",2050,""
"New Mexico State University Main Campus","Carbon","NM","DR","-61.42","58,567","0","58,567","5,045,617","-52.54","12,261","-21.98","35,156","May 2, 2007",2050,"http://sustainability.nmsu.edu/"
"New York University","Climate","NY","DR","-28.93","145,223","0","145,223","12,824,384","-26.07","36,991","-35.99","0","Mar 23, 2016",2040,"http://www.nyu.edu/sustainability"
"Niagara University","Carbon","NY","MA","0.00","19,364","0","19,364","1,130,137","0.00","3,778","0.00","0","Nov 15, 2012",2050,"http://www.niagara.edu/green/"
"North Carolina State University","Carbon","NC","DR","-1.79","264,665","0","264,665","15,015,631","-1.83","30,231","7.21","0","Jan 30, 2008",2050,"http://www.ncsu.edu/sustainability"
"North Iowa Area Community College","Carbon","IA","AS","-38.88","3,353","0","3,353","515,238","-44.73","3,360","-35.99","0","Aug 28, 2009",2030,""
"North Lake College","Climate","TX","AS","-35.98","11,438","0","11,438","649,754","-47.38","6,191","-33.54","0","Oct 19, 2015",2050,"http://northlakecollege.edu/green"
"Northeast Lakeview College","Climate","TX","AS","44.69","8,347","0","8,347","372,417","88.46","2,216","-80.74","0","Aug 27, 2008",2050,""
"Northeastern University","Carbon","MA","DR","-24.60","54,176","1,026","55,202","7,114,338","-37.31","29,183","-47.23","0","May 2, 2007",2060,"http://www.Northeastern.edu/sustainability"
"Northern Arizona University","Carbon","AZ","DR","19.11","68,504","0","68,504","6,884,770","-11.47","23,140","-10.95","168","Jan 23, 2007",,"http://green.nau.edu/"
"Northern Kentucky University","Carbon","KY","MA","1.23","60,401","7","60,408","2,455,757","-0.65","11,595","5.97","0","May 17, 2007",2050,"http://green.nku.edu/"
"Northland College","Climate","WI","BA","-30.23","3,247","97","3,344","433,498","-30.32","551","-29.22","0","Dec 14, 2015",2030,"https://www.northland.edu/sustain/our-sustainability-story/"
"Northwest Vista College","Climate","TX","AS","19.10","27,500","0","27,500","839,985","-20.98","10,433","-11.13","0","Aug 27, 2008",2050,""
"Norwalk Community College","Carbon","CT","AS","-25.19","8,012","0","8,012","350,000","-56.91","3,331","-10.24","0","Apr 22, 2009",2025,"https://norwalk.edu/ncc-cares/"
"Oakton Community College","Climate","IL","AS","0.00","13,312","0","13,312","699,795","0.00","6,802","0.00","19,414","Dec 20, 2018",,""
"Oberlin College","Climate","OH","BA","-48.87","20,679","7,568","29,741","2,748,285","-50.88","2,793","-49.76","2,585,600","Dec 18, 2015",2025,"http://www.oberlin.edu/sustainability"
"Ohio University","Carbon","OH","DR","-30.19","116,395","168","116,563","8,326,612","-33.23","21,169","-37.30","107,412","Mar 15, 2007",2075,"http://www.ohio.edu/sustainability"
"Oregon State University","Carbon","OR","DR","-11.00","133,553","0","133,553","10,541,720","-40.63","27,604","-42.35","3,273,284","Apr 13, 2007",2025,"http://oregonstate.edu/sustainability/"
"Otis College of Art and Design","Climate","CA","SP","0.00",,"0","0","0","0.00","1,042","0.00","0","Aug 9, 2017",,"https://www.otis.edu/sustainability"
"Pacific Lutheran University","Carbon","WA","MA","-26.09","15,007","2,788","17,795","1,457,030","-30.71","3,570","-28.78","365","Dec 12, 2006",2020,"http://www.plu.edu/~sustain"
"Pacific University","Carbon","OR","MA","38.22","9,415","0","9,415","2,462,142","-42.94","3,426","32.77","0","Nov 19, 2012",2020,"http://www.pacificu.edu/center_for_sustainable_society/"
"Palo Alto College","Climate","TX","AS","9.41","21,249","0","21,249","607,704","-15.75","5,713","1.75","0","Aug 27, 2008",2050,""
"Paradise Valley Community College","Climate","AZ","AS","32.68","13,175","0","13,175","354,375","18.27","4,826","20.09","0","Oct 7, 2015",,"http://www.pvc.maricopa.edu/green/"
"Parkland College","Carbon","IL","AS","26.91","28,517","0","28,517","800,000","40.96","7,326","15.08","61","Apr 30, 2009",2060,""
"Paul Smith's College","Carbon","NY","BA","-26.25","2,980","2,227","5,206","554,594","-38.92","1,051","-35.80","0","Apr 12, 2007",2029,"http://sites.paulsmiths.edu/sustainability/"
"Phoenix College","Climate","AZ","AS","-16.04","18,791","0","18,791","718,973","-30.53","11,554","-33.00","36,000","Oct 7, 2015",2022,"https://sites.google.com/a/phoenixcollege.edu/pcgreencommittee/"
"Pittsburg State University","Carbon","KS","MA","4.80","22,771","2","22,773","2,100,834","0.33","5,977","29.75","0","Apr 23, 2012",,""
"Pitzer College","Carbon","CA","BA","-40.11","3,299","0","3,299","469,032","-53.14","1,059","-43.56","1,164,000","Jan 18, 2007",2050,"http://pitzer.edu/sustainability/"
"Plymouth State University","Carbon","NH","MA","20.82","20,168","0","20,168","1,532,643","11.62","4,438","26.92","0","Apr 4, 2007",2050,"http://www.plymouth.edu/sustainability/"
"Point Loma Nazarene University","Carbon","CA","MA","-51.28","6,198","1,613","7,811","999,334","-60.51","3,014","-62.82","1,286,940","Jun 25, 2007",2050,"http://www.pointloma.edu/sustainability"
"Polytechnic University","Carbon","NY","DR","0.00","14,169","0","14,169","689,000","0.00","3,730","0.00","0","Mar 12, 2008",,"http://www.poly.edu/campus-transformation"
"Pomona College","Carbon","CA","BA","-41.99","13,535","0","13,535","1,841,649","-51.25","1,659","-45.90","1,242,190","Apr 20, 2007",2030,"http://www.pomona.edu/sustainability/"
"Portland Community College","Carbon","OR","AS","-2.27","60,562","0","60,562","2,498,221","-20.88","26,622","-15.53","828,669","Jun 14, 2007",2050,"http://www.pcc.edu/sustain"
"Portland State University","Climate","OR","DR","-36.94","34,678","0","34,678","5,239,573","-43.12","20,507","-18.24","54","Oct 5, 2015",2040,"http://www.pdx.edu/sustainability"
"Pratt Institute","Carbon","NY","SP","-10.48","18,141","0","18,141","1,827,238","-27.15","4,829","-17.86","47,040","Jun 12, 2007",2040,"http://www.sustainablepratt.org/index.php"
"Prescott College","Carbon","AZ","BA","0.00","2,978","0","2,978","100,785","0.00","1,007","0.00","0","Feb 20, 2007",,"http://www.prescott.edu/explore/campus-and-fieldstations/departments-and-offices/sustainability/index.html"
"Purchase College, State University of New York","Carbon","NY","BA","-33.62","25,230","0","25,230","2,366,989","-31.70","4,379","-45.02","0","May 2, 2007",2070,"http://www.purchase.edu/"
"Queens University of Charlotte","Carbon","NC","MA","59.11","9,941","0","9,941","1,109,303","3.57","1,778","91.41","0","Apr 19, 2010",,""
"Quinebaug Valley Community College","Carbon","CT","AS","142.55","1,271","0","1,271","144,119","79.36","1,527","193.22","17,127","Oct 25, 2013",2050,"http://qvcc.edu/science/sustainability/"
"Radford University","Carbon","VA","MA","7.55","41,955","0","41,955","2,887,530","-2.68","8,746","5.23","0","Oct 21, 2009",2040,"http://www.radford.edu/rugreen/"
"Ramapo College of New Jersey","Carbon","NJ","MA","6.90","29,515","0","29,515","1,787,296","-0.22","5,097","3.23","0","Dec 17, 2007",,"http://www.ramapo.edu/ramapogreen/"
"Randolph College","Climate","VA","BA","-42.32","6,342","742","6,342","716,000","-43.61","671","-43.27","0","Jan 31, 2017",2050,"http://www.randolphcollege.edu/sustainability"
"Rhodes College","Carbon","TN","BA","-49.02","9,233","0","9,233","1,283,710","-57.79","2,010","-57.62","0","Aug 24, 2007",2029,"http://www.rhodes.edu/studentorgs/epc"
"Rice University","Carbon","TX","DR","-4.30","50,803","57,640","108,443","5,930,533","-38.75","6,224","-23.23","0","Oct 12, 2007",2038,"http://sustainability.rice.edu/"
"Richland College","Climate","TX","AS","-71.53","6,828","0","6,828","749,696","-75.96","11,395","-77.48","0","Jun 27, 2007",2060,"http://www.rlc.dcccd.edu/greenrichland"
"Rider University","Carbon","NJ","MA","-39.62","13,802","665","13,802","1,498,652","-44.40","4,070","-28.55","0","Apr 17, 2007",2050,"http://www.rider.edu/about-rider/sustainability-rider"
"Rio Salado College","Climate","AZ","AS","-17.68","10,226","0","10,226","439,909","-54.19","15,333","-28.61","0","Oct 7, 2015",2050,"http://www.riosalado.edu/sustainability"
"Rochester Institute of Technology","Climate","NY","MA","-28.75","55,597","0","55,597","6,052,420","-36.98","13,406","-36.10","2,355,641","Jan 26, 2016",2030,"http://www.rit.edu/sustainability.edu"
"Roger Williams University","Carbon","RI","BA","8.02","22,458","0","22,458","1,431,971","2.42","4,650","11.92","0","Apr 25, 2008",2050,"http://www.rwu.edu/sites/recyclingandsustainability/"
"Rose-Hulman Institute of Technology","Carbon","IN","SP","-22.77","17,154","0","17,154","1,117,637","-25.99","2,355","-36.38","0","Jul 16, 2007",2050,"https://www.rose-hulman.edu/offices-services/facilities-operations/sustainability.aspx"
"Saint Joseph's College of Maine","Carbon","ME","MA","35.66","5,311","0","5,311","0","0.00","931","0.00","0","Apr 6, 2009",2036,"http://www.sjcme.edu/sustainability"
"Saint Peter's University","Carbon","NJ","MA","23.82","14,537","0","14,537","1,054,692","49.68","3,104","24.10","2,314,444","Oct 31, 2007",2040,"http://www.saintpeters.edu/sustainability/"
"Salem State University","Carbon","MA","MA","-27.34","16,356","0","16,356","1,662,428","-42.88","8,454","-13.32","153,770","May 31, 2007",2050,"https://www.salemstate.edu/offices-and-services/sustainability"
"Salisbury University","Climate","MD","MA","-51.81","12,855","174","13,019","2,425,020","-71.29","8,027","-62.32","0","Dec 18, 2015",2050,"http://www.salisbury.edu/sustain/"
"San Antonio College","Climate","TX","AS","-19.32","39,647","0","39,647","2,081,837","-38.75","11,496","2.35","0","Aug 27, 2008",2050,""
"San Diego State University","Carbon","CA","DR","-2.61","99,143","0","99,143","5,693,749","-4.67","31,402","-11.69","1,991,650","Mar 5, 2014",2050,"http://sustainable.sdsu.edu/"
"San Francisco State University","Climate","CA","MA","-33.04","37,100","0","37,100","3,852,144","-36.50","24,499","-21.23","0","May 9, 2007",,"http://www.sfsu.edu/~sustain"
"San Joaquin Delta College","Carbon","CA","AS","0.00","32,337","0","32,337","583,104","0.00","17,280","0.00","0","Feb 11, 2009",,"http://www.deltacollege.edu/org/isc/index.html"
"Santa Clara University","Carbon","CA","MA","-3.33","27,133","0","27,133","3,174,771","-36.41","8,994","-24.86","98,551","Jun 25, 2007",2020,"http://www.scu.edu/sustainability"
"Santa Fe Community College (NM)","Climate","NM","AS","0.00","34,630","0","34,630","538,489","0.00","12,118","0.00","734","Jan 22, 2016",2035,""
"Santa Monica College","Carbon","CA","AS","28.17","33,233","0","33,233","1,129,867","25.66","25,750","23.26","440","Feb 1, 2008",2050,"http://www.smc.edu/AcademicAffairs/Sustainability"
"School of the Art Institute of Chicago","Climate","IL","SP","-57.08","9,576","6","9,582","1,336,300","-64.56","3,501","-67.62","0","Sep 12, 2017",,""
"Scottsdale Community College","Climate","AZ","AS","20.20","32,431","0","32,431","584,498","8.03","7,956","-5.36","0","Oct 7, 2015",,"http://www.scottsdalecc.edu/green"
"Second Nature-Training","Climate","MA","SP","-92.74","10,005","0","5","1,235,456","-44.45","1,250","99.50","0","Dec 7, 2015",2048,"http://www.higheredclimatesummit.org"
"Sewanee: The University of the South","Carbon","TN","BA","-2.91","15,691","0","15,691","1,500,664","-14.66","1,650","-10.91","0","Jul 11, 2007",2030,"http://www.sewanee.edu/offices/oess/"
"Shasta College","Carbon","CA","AS","0.00",,"0","0","0","0.00","10,100","0.00","0","Mar 18, 2009",,""
"Shoreline Community College","Carbon","WA","AS","72.27","8,016","0","8,016","480,013","74.41","5,480","534.81","0","Sep 28, 2007",2050,"http://www.shoreline.edu/sustainability"
"Slippery Rock University of Pennsylvania","Carbon","PA","MA","-48.99","27,326","5","27,331","2,567,609","-61.93","9,062","-56.63","2,538","Nov 12, 2009",2037,"http://www.sru.edu/sustainability"
"Smith College","Carbon","MA","BA","-13.04","26,561","452","27,013","2,847,347","-13.86","2,804","-21.26","556,047","Nov 14, 2007",2030,"https://www.smith.edu/about-smith/sustainable-smith"
"Sonoma State University","Climate","CA","MA","0.00",,"0","0","0","0.00","7,749","0.00","0","Apr 5, 2019",,"http://sustainablessu.sonoma.edu/"
"South Mountain Community College","Climate","AZ","AS","0.00","9,550","0","9,550","229,309","0.00","4,604","0.00","0","Oct 7, 2015",,"http://about.southmountaincc.edu/About/Recycling/"
"Southern Connecticut State University","Climate","CT","MA","-34.28","12,370","0","12,370","3,060,484","-45.55","8,434","-28.32","54,000","Oct 13, 2015",2049,"http://southernct.edu/campus_sustainability"
"Southern New Hampshire University","Carbon","NH","MA","0.00","3,364","5,875","9,239","842,040","0.00","3,900","0.00","0","May 7, 2007",,""
"Southern Oregon University","Climate","OR","MA","129.79","13,870","0","13,871","1,669,709","92.91","4,218","105.08","351,124","Apr 20, 2016",2050,"http://sustainability.sou.edu/"
"Southwestern University","Carbon","TX","BA","-55.29","7,854","0","7,854","1,047,729","-56.16","1,486","-59.86","0","Feb 19, 2009",2045,"http://www.southwestern.edu/sustainability/"
"Spelman College","Carbon","GA","BA","-11.21","21,776","-4,101","17,675","1,252,911","-11.21","2,072","-5.25","0","Aug 25, 2010",2056,"http://www.spelman.edu/sustainable"
"Springfield College","Carbon","MA","MA","0.00","17,620","0","17,620","1,578,008","0.00","4,366","0.00","0","May 15, 2007",2030,""
"Springfield Technical Community College","Carbon","MA","AS","-31.18","8,254","0","8,254","1,072,615","-31.18","4,321","-29.32","0","Oct 17, 2013",,""
"St. Cloud State University","Carbon","MN","MA","-22.53","38,675","0","38,675","3,280,469","-26.35","15,461","-29.11","0","Jun 8, 2009",2035,""
"St. Mary's College of Maryland","Carbon","MD","BA","37.53","19,547","0","19,547","932,523","21.33","1,537","64.55","4,327","Apr 9, 2008",2020,"http://www.smcm.edu/"
"St. Philip's College","Climate","TX","AS","-2.40","33,550","0","33,550","1,264,539","-37.88","6,825","-3.89","0","Aug 27, 2008",2050,""
"State University of New York at Albany","Climate","NY","DR","-23.24","57,472","0","57,472","6,004,185","-41.66","16,296","-29.18","62,197","Mar 30, 2016",2070,"http://www.albany.edu/gogreen"
"State University of New York at Buffalo","Carbon","NY","DR","-31.83","99,492","0","99,492","10,970,240","-36.48","29,834","-37.80","708,899","Mar 7, 2007",2030,"http://wings.buffalo.edu/ubgreen/"
"State University of New York at Fredonia","Carbon","NY","MA","-17.93","20,368","0","20,368","2,232,176","-25.23","5,008","-19.98","4,380","May 2, 2008",2050,"http://www.fredonia.edu/sustainability"
